System,Application,Parallelism,TotalLUTs,LogicLUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48Blocks,Slices,SLICEL,SLICEM,Slack(VIOLATED),
aetherling_copies,big_real_16_conv2d,259200,1521,1456,0,65,1179,0,16,80,499,228,271,0.801ns,
aetherling_copies,big_real_16_conv2d,518400,788,755,0,33,659,0,8,40,256,111,145,0.773ns,
aetherling_copies,big_real_16_conv2d,6220800,339,330,0,9,499,2,0,4,147,83,64,0.185ns,
aetherling_copies,big_real_16_sharpen,1036800,609,560,48,1,505,0,4,22,212,89,123,0.752ns,
aetherling_copies,big_real_16_sharpen,129600,4571,4186,384,1,3015,0,32,176,1534,826,708,0.311ns,
aetherling_copies,big_real_16_sharpen,2073600,363,338,24,1,333,2,0,11,131,77,54,0.285ns,
aetherling_copies,big_real_16_sharpen,259200,2282,2089,192,1,1599,0,16,88,763,415,348,0.389ns,
aetherling_copies,big_real_16_sharpen,518400,1173,1076,96,1,875,0,8,44,391,206,185,0.754ns,
aetherling_copies,big_real_16_sharpen,6220800,444,420,24,0,561,2,0,5,183,113,70,0.286ns,
aetherling_copies,big_real_32_conv2d_b2b,1036800,91,76,0,15,230,0,0,8,65,25,40,2.748ns,
aetherling_copies,big_real_32_conv2d_b2b,129600,712,599,0,113,1770,0,0,64,513,276,237,0.993ns,
aetherling_copies,big_real_32_conv2d_b2b,2073600,47,39,0,8,153,0,0,4,36,23,13,2.887ns,
aetherling_copies,big_real_32_conv2d_b2b,259200,358,301,0,57,890,0,0,32,257,135,122,1.779ns,
aetherling_copies,big_real_32_conv2d_b2b,518400,88,59,0,29,170,0,0,16,58,36,22,2.599ns,
aetherling_copies,big_real_32_conv2d_b2b,6220800,
aetherling_copies,big_real_32_conv2d,1036800,117,106,0,11,242,0,0,8,97,49,48,1.124ns,
aetherling_copies,big_real_32_conv2d,129600,917,836,0,81,1866,0,0,64,744,379,365,1.164ns,
aetherling_copies,big_real_32_conv2d,2073600,59,53,0,6,157,0,0,4,51,28,23,1.315ns,
aetherling_copies,big_real_32_conv2d,259200,476,435,0,41,963,0,0,32,539,303,236,1.122ns,
aetherling_copies,big_real_32_conv2d,518400,231,210,0,21,474,0,0,16,189,91,98,1.163ns,
aetherling_copies,big_real_32_conv2d,6220800,183,177,0,6,292,0,0,4,79,38,41,1.238ns,
aetherling_copies,big_real_conv2d_b2b,1036800,411,400,0,11,377,0,6,30,159,76,83,0.542ns,
aetherling_copies,big_real_conv2d_b2b,129600,
aetherling_copies,big_real_conv2d_b2b,2073600,257,250,0,7,246,0,3,15,102,57,45,0.767ns,
aetherling_copies,big_real_conv2d_b2b,259200,1462,1421,0,41,1187,0,24,120,481,250,231,0.529ns,
aetherling_copies,big_real_conv2d_b2b,518400,769,748,0,21,655,0,12,60,264,146,118,0.616ns,
aetherling_copies,big_real_conv2d_b2b,6220800,363,358,0,5,455,0,3,7,141,86,55,0.675ns,
aetherling_copies,big_real_conv2d,1036800,276,267,0,9,247,0,4,20,88,39,49,0.795ns,
aetherling_copies,big_real_conv2d,129600,1957,1892,0,65,1371,0,32,160,633,326,307,0.521ns,
aetherling_copies,big_real_conv2d,2073600,173,167,0,6,162,0,2,10,64,38,26,0.791ns,
aetherling_copies,big_real_conv2d,259200,979,946,0,33,747,0,16,80,322,163,159,0.754ns,
aetherling_copies,big_real_conv2d,518400,515,498,0,17,419,0,8,40,175,84,91,0.656ns,
aetherling_copies,big_real_conv2d,6220800,231,226,0,5,299,0,2,4,95,61,34,0.759ns,
aetherling_copies,big_real_sharpen,1036800,383,350,32,1,329,0,4,22,129,62,67,0.743ns,
aetherling_copies,big_real_sharpen,129600,2748,2491,256,1,1943,0,32,176,982,534,448,0.461ns,
aetherling_copies,big_real_sharpen,2073600,217,200,16,1,213,0,2,11,83,45,38,0.347ns,
aetherling_copies,big_real_sharpen,259200,1379,1250,128,1,1039,0,16,88,481,257,224,0.362ns,
aetherling_copies,big_real_sharpen,518400,721,656,64,1,571,0,8,44,264,129,135,0.772ns,
aetherling_copies,big_real_sharpen,6220800,277,261,16,0,345,0,2,5,111,57,54,0.458ns,
aetherling_copies,big_sharpen,100,131,105,24,2,166,0,0,0,49,24,25,0.600ns,
aetherling_copies,big_sharpen,1036800,323,307,16,0,267,0,4,0,110,79,31,-0.129ns,
aetherling_copies,big_sharpen,129600,2309,2181,128,0,1517,0,32,0,754,424,330,-0.699ns,
aetherling_copies,big_sharpen,16,120,94,24,2,158,0,0,0,52,34,18,0.732ns,
aetherling_copies,big_sharpen,2073600,182,174,8,0,175,0,2,0,64,45,19,-0.205ns,
aetherling_copies,big_sharpen,256,120,94,24,2,158,0,0,0,46,28,18,0.747ns,
aetherling_copies,big_sharpen,259200,1157,1093,64,0,821,0,16,0,364,216,148,-0.692ns,
aetherling_copies,big_sharpen,25,128,102,24,2,162,0,0,0,53,28,25,0.625ns,
aetherling_copies,big_sharpen,289,132,106,24,2,170,0,0,0,47,28,19,0.551ns,
aetherling_copies,big_sharpen,49,130,104,24,2,162,0,0,0,48,28,20,0.547ns,
aetherling_copies,big_sharpen,518400,606,574,32,0,457,0,8,0,195,123,72,-0.298ns,
aetherling_copies,big_sharpen,6220800,272,264,8,0,315,0,2,0,99,62,37,0.041ns,
aetherling_copies,big_sharpen,64,127,101,24,2,139,0,0,0,48,28,20,0.085ns,
