System,Application,Parallelism,TotalLUTs,LogicLUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48Blocks,Slices,SLICEL,SLICEM,Slack(VIOLATED),
aetherling_copies,big_real_16_conv2d,6220800,342,333,0,9,614,2,0,4,161,102,59,0.246ns,
aetherling_copies,big_real_16_sharpen,1036800,548,499,48,1,853,2,0,22,262,132,130,-0.717ns,
aetherling_copies,big_real_16_sharpen,129600,3813,3428,384,1,5688,8,0,176,1926,995,931,-1.190ns,
aetherling_copies,big_real_16_sharpen,2073600,366,341,24,1,545,2,0,11,171,91,80,-0.703ns,
aetherling_copies,big_real_16_sharpen,259200,1941,1748,192,1,2926,4,0,88,1065,562,503,-1.216ns,
aetherling_copies,big_real_16_sharpen,518400,1013,916,96,1,1541,2,0,44,498,262,236,-1.187ns,
aetherling_copies,big_real_16_sharpen,6220800,442,418,24,0,677,2,0,5,199,119,80,-0.840ns,
aetherling_copies,big_real_32_conv2d_b2b,1036800,1132,834,0,298,3082,6,0,94,881,548,333,0.276ns,
aetherling_copies,big_real_32_conv2d_b2b,129600,
aetherling_copies,big_real_32_conv2d_b2b,2073600,711,561,0,150,1842,6,0,47,490,317,173,0.143ns,
aetherling_copies,big_real_32_conv2d_b2b,259200,
aetherling_copies,big_real_32_conv2d_b2b,518400,2158,1563,0,595,5835,6,0,188,1587,891,696,0.219ns,
aetherling_copies,big_real_32_conv2d_b2b,6220800,922,845,0,77,1965,6,0,23,532,307,225,-0.051ns,
aetherling_copies,big_real_32_conv2d,1036800,799,589,0,210,2060,4,0,62,585,333,252,0.238ns,
aetherling_copies,big_real_32_conv2d,129600,
aetherling_copies,big_real_32_conv2d,2073600,490,385,0,105,1221,4,0,31,367,210,157,0.095ns,
aetherling_copies,big_real_32_conv2d,259200,
aetherling_copies,big_real_32_conv2d,518400,1526,1108,0,418,3877,4,0,124,1106,677,429,0.249ns,
aetherling_copies,big_real_32_conv2d,6220800,568,517,0,51,1256,4,0,13,364,220,144,0.075ns,
aetherling_copies,big_real_32_sharpen,1036800,1160,921,48,191,2308,4,2,70,678,381,297,-3.156ns,
aetherling_copies,big_real_32_sharpen,129600,
aetherling_copies,big_real_32_sharpen,2073600,677,557,24,96,1356,4,1,35,394,200,194,-2.900ns,
aetherling_copies,big_real_32_sharpen,259200,
aetherling_copies,big_real_32_sharpen,518400,2234,1757,96,381,4357,4,4,140,1428,832,596,-3.314ns,
aetherling_copies,big_real_32_sharpen,6220800,760,694,24,42,1391,4,1,17,432,258,174,-2.487ns,
aetherling_copies,big_real_conv2d_b2b,1036800,318,307,0,11,617,0,3,30,194,103,91,0.773ns,
aetherling_copies,big_real_conv2d_b2b,129600,
aetherling_copies,big_real_conv2d_b2b,2073600,259,252,0,7,417,0,3,15,140,83,57,0.767ns,
aetherling_copies,big_real_conv2d_b2b,259200,941,900,0,41,2045,3,0,120,616,340,276,0.372ns,
aetherling_copies,big_real_conv2d_b2b,518400,526,505,0,21,1091,0,3,60,326,160,166,0.410ns,
aetherling_copies,big_real_conv2d_b2b,6220800,365,360,0,5,558,0,3,7,149,80,69,1.070ns,
aetherling_copies,big_real_conv2d,1036800,214,205,0,9,403,0,2,20,123,54,69,0.341ns,
aetherling_copies,big_real_conv2d,129600,1213,1148,0,65,2510,4,0,160,724,372,352,0.400ns,
aetherling_copies,big_real_conv2d,2073600,175,169,0,6,272,0,2,10,94,48,46,0.856ns,
aetherling_copies,big_real_conv2d,259200,633,600,0,33,1301,2,0,80,380,186,194,0.492ns,
aetherling_copies,big_real_conv2d,518400,354,337,0,17,701,0,2,40,224,120,104,0.495ns,
aetherling_copies,big_real_conv2d,6220800,230,225,0,5,358,0,2,4,107,60,47,0.880ns,
aetherling_copies,big_real_sharpen,1036800,326,293,32,1,485,0,2,22,172,91,81,-0.560ns,
aetherling_copies,big_real_sharpen,129600,2030,1773,256,1,3079,4,0,176,1097,567,530,-0.422ns,
aetherling_copies,big_real_sharpen,2073600,222,205,16,1,321,0,2,11,117,73,44,0.041ns,
aetherling_copies,big_real_sharpen,259200,1050,921,128,1,1593,2,0,88,562,299,263,-0.385ns,
aetherling_copies,big_real_sharpen,518400,569,504,64,1,853,0,2,44,296,156,140,-0.604ns,
aetherling_copies,big_real_sharpen,6220800,276,260,16,0,405,0,2,5,145,75,70,-0.001ns,
aetherling_copies,big_sharpen,1036800,273,257,16,0,313,0,2,0,111,81,30,0.065ns,
aetherling_copies,big_sharpen,129600,1590,1462,128,0,1748,4,0,0,602,381,221,-0.712ns,
aetherling_copies,big_sharpen,2073600,189,181,8,0,224,0,2,0,77,56,21,0.008ns,
aetherling_copies,big_sharpen,259200,842,778,64,0,923,2,0,0,302,222,80,-0.379ns,
aetherling_copies,big_sharpen,518400,454,422,32,0,515,0,2,0,164,121,43,-0.330ns,
aetherling_copies,big_sharpen,6220800,265,257,8,0,378,0,2,0,106,61,45,0.012ns,
